delta_1 21116KB 50.040684078s
delta_3 21316KB 50.040110998s
delta_5 21412KB 50.042409515s
delta_10 21532KB 50.043291357s
scarsity_10 10540KB 50.042181608s
scarsity_30 9228KB 60.047341067s
scarsity_60 6428KB 50.041361025s
scarsity_80 3788KB 50.041783542s
repeats_10 10700KB 50.042584680s
repeats_30 9844KB 60.046425227s
repeats_70 6148KB 50.041880547s
repeats_90 2604KB 50.041485485s
