runtime, var  , query , n_s , n_st , timerange
69.56 , 7.25 , q4 , 1 , 4 , week
263.738 , 6.842 , q4 , 1 , 4 , month
4.36 , 0.829 , q4 , 1 , 6 , minute
5.955 , 0.459 , q4 , 1 , 6 , hour
20.922 , 4.001 , q4 , 1 , 6 , day
97.654 , 7.607 , q4 , 1 , 6 , week
397.634 , 30.388 , q4 , 1 , 6 , month
4.11 , 0.525 , q4 , 1 , 8 , minute
5.962 , 0.847 , q4 , 1 , 8 , hour
28.408 , 1.479 , q4 , 1 , 8 , day
47.807 , 8.38 , q4 , 1 , 8 , week
66.242 , 6.035 , q4 , 1 , 8 , month
5.025 , 0.825 , q4 , 1 , 10 , minute
7.151 , 0.51 , q4 , 1 , 10 , hour
35.036 , 17.241 , q4 , 1 , 10 , day
161.158 , 14.212 , q4 , 1 , 10 , week
648.463 , 17.986 , q4 , 1 , 10 , month
9.526 , 0.855 , q4 , 20 , 2 , minute
13.17 , 3.196 , q4 , 20 , 2 , hour
86.937 , 6.907 , q4 , 20 , 2 , day
571.773 , 25.843 , q4 , 20 , 2 , week
2396.766 , 44.864 , q4 , 20 , 2 , month
13.61 , 2.335 , q4 , 20 , 4 , minute
19.055 , 2.268 , q4 , 20 , 4 , hour
168.078 , 10.163 , q4 , 20 , 4 , day
1119.365 , 28.266 , q4 , 20 , 4 , week
2954.439 , 38.3 , q4 , 20 , 4 , month
17.117 , 3.728 , q4 , 20 , 6 , minute
29.988 , 3.879 , q4 , 20 , 6 , hour
270.562 , 23.748 , q4 , 20 , 6 , day
1692.216 , 28.534 , q4 , 20 , 6 , week
7208.299 , 45.608 , q4 , 20 , 6 , month
22.284 , 3.574 , q4 , 20 , 8 , minute
39.249 , 5.308 , q4 , 20 , 8 , hour
338.664 , 18.069 , q4 , 20 , 8 , day
2227.307 , 19.943 , q4 , 20 , 8 , week
8329.057 , 51.779 , q4 , 20 , 8 , month
24.522 , 3.573 , q4 , 20 , 10 , minute
46.887 , 4.444 , q4 , 20 , 10 , hour
439.78 , 11.765 , q4 , 20 , 10 , day
2832.981 , 43.717 , q4 , 20 , 10 , week
7072.239 , 66.119 , q4 , 20 , 10 , month
14.164 , 3.303 , q4 , 40 , 2 , minute
22.613 , 3.477 , q4 , 40 , 2 , hour
172.447 , 14.33 , q4 , 40 , 2 , day
1128.783 , 39.784 , q4 , 40 , 2 , week
4741.771 , 67.408 , q4 , 40 , 2 , month
21.238 , 3.422 , q4 , 40 , 4 , minute
33.247 , 5.956 , q4 , 40 , 4 , hour
340.638 , 14.847 , q4 , 40 , 4 , day
2239.772 , 28.729 , q4 , 40 , 4 , week
9626.57 , 72.39 , q4 , 40 , 4 , month
30.391 , 3.65 , q4 , 40 , 6 , minute
55.726 , 7.532 , q4 , 40 , 6 , hour
508.302 , 13.379 , q4 , 40 , 6 , day
3349.881 , 20.817 , q4 , 40 , 6 , week
7265.166 , 58.391 , q4 , 40 , 6 , month
34.974 , 4.091 , q4 , 40 , 8 , minute
70.177 , 5.647 , q4 , 40 , 8 , hour
665.494 , 10.335 , q4 , 40 , 8 , day
4482.861 , 25.14 , q4 , 40 , 8 , week
9677.961 , 40.602 , q4 , 40 , 8 , month
41.812 , 5.821 , q4 , 40 , 10 , minute
71.373 , 6.642 , q4 , 40 , 10 , hour
829.012 , 44.838 , q4 , 40 , 10 , day
5593.206 , 29.144 , q4 , 40 , 10 , week
24213.66 , 136.962 , q4 , 40 , 10 , month
19.878 , 2.446 , q4 , 60 , 2 , minute
28.196 , 3.711 , q4 , 60 , 2 , hour
251.961 , 5.738 , q4 , 60 , 2 , day
453.718 , 9.295 , q4 , 60 , 2 , week
483.435 , 6.431 , q4 , 60 , 2 , month
29.248 , 3.966 , q4 , 60 , 4 , minute
52.439 , 4.605 , q4 , 60 , 4 , hour
498.369 , 10.607 , q4 , 60 , 4 , day
3349.166 , 17.057 , q4 , 60 , 4 , week
10252.391 , 37.025 , q4 , 60 , 4 , month
37.294 , 3.671 , q4 , 60 , 6 , minute
72.466 , 5.454 , q4 , 60 , 6 , hour
743.938 , 13.156 , q4 , 60 , 6 , day
4980.888 , 30.127 , q4 , 60 , 6 , week
21590.774 , 113.197 , q4 , 60 , 6 , month
46.54 , 5.615 , q4 , 60 , 8 , minute
92.557 , 6.298 , q4 , 60 , 8 , hour
987.297 , 9.377 , q4 , 60 , 8 , day
6648.977 , 20.829 , q4 , 60 , 8 , week
21944.611 , 82.544 , q4 , 60 , 8 , month
55.05 , 5.694 , q4 , 60 , 10 , minute
95.625 , 5.981 , q4 , 60 , 10 , hour
1228.317 , 10.051 , q4 , 60 , 10 , day
8267.247 , 17.085 , q4 , 60 , 10 , week
35848.19 , 126.551 , q4 , 60 , 10 , month
24.419 , 1.976 , q4 , 80 , 2 , minute
35.347 , 3.439 , q4 , 80 , 2 , hour
330.584 , 10.418 , q4 , 80 , 2 , day
2206.542 , 10.349 , q4 , 80 , 2 , week
8683.474 , 35.121 , q4 , 80 , 2 , month
32.757 , 4.798 , q4 , 80 , 4 , minute
65.438 , 5.43 , q4 , 80 , 4 , hour
661.778 , 10.701 , q4 , 80 , 4 , day
1707.261 , 14.45 , q4 , 80 , 4 , week
1770.608 , 6.646 , q4 , 80 , 4 , month
