49.541953802108765 , 9.044863935125644  , q1 , 3 , 1 , day , 10000
15.802570581436157 , 2.929545770655542  , q2 , 3 , 1 , day , 10000
15.150234699249268 , 4.2869372664193  , q3 , 3 , 1 , day , 10000
19.674149751663208 , 3.6241948712239056  , q4 , 3 , 1 , day , 10000
111.14232301712036 , 10.14082502669842  , q5 , 3 , 1 , day , 10000
52.03109622001648 , 8.495043085455219  , q6 , 3 , 1 , day , 10000
13.388389348983765 , 3.710905281585565  , q7 , 3 , 1 , day , 10000
50.08699417114258 , 6.267318576284063  , q1 , 3 , 1 , day , 10000
16.081225872039795 , 3.406868947103215  , q2 , 3 , 1 , day , 10000
15.260486602783203 , 3.175298838541661  , q3 , 3 , 1 , day , 10000
20.31597137451172 , 4.947530808664606  , q4 , 3 , 1 , day , 10000
111.60997033119202 , 8.332798020150227  , q5 , 3 , 1 , day , 10000
44.604562520980835 , 4.753563832903853  , q6 , 3 , 1 , day , 10000
11.473569869995117 , 1.9001377747949246  , q7 , 3 , 1 , day , 10000
51.739869117736816 , 11.1692502838173  , q1 , 3 , 1 , day , 50000
19.88417387008667 , 8.560256253919917  , q2 , 3 , 1 , day , 50000
19.675168991088867 , 10.285853641056642  , q3 , 3 , 1 , day , 50000
23.80631923675537 , 9.682454809784689  , q4 , 3 , 1 , day , 50000
121.24735593795776 , 15.767907880127003  , q5 , 3 , 1 , day , 50000
56.751452684402466 , 18.827915434727604  , q6 , 3 , 1 , day , 50000
16.977415084838867 , 10.203891325873798  , q7 , 3 , 1 , day , 50000
56.13974928855896 , 16.057090466350825  , q1 , 3 , 1 , day , 50000
21.100813150405884 , 9.663712458692386  , q2 , 3 , 1 , day , 50000
20.096778869628906 , 9.604958872158274  , q3 , 3 , 1 , day , 50000
24.81541156768799 , 12.744400499131272  , q4 , 3 , 1 , day , 50000
114.66549158096313 , 15.880157216892382  , q5 , 3 , 1 , day , 50000
44.23693060874939 , 6.413829875829145  , q6 , 3 , 1 , day , 50000
12.024577856063843 , 3.1779441392795276  , q7 , 3 , 1 , day , 50000
52.14385986328125 , 7.521271415059998  , q1 , 3 , 1 , day , 100000
17.91483759880066 , 7.604481945050075  , q2 , 3 , 1 , day , 100000
16.37180805206299 , 5.781779890567529  , q3 , 3 , 1 , day , 100000
21.227962970733643 , 5.3085390479421735  , q4 , 3 , 1 , day , 100000
120.14341950416565 , 9.98200158008367  , q5 , 3 , 1 , day , 100000
53.63264441490173 , 7.451716974201436  , q6 , 3 , 1 , day , 100000
14.898959398269653 , 6.067701320050125  , q7 , 3 , 1 , day , 100000
51.5348744392395 , 7.362926631694664  , q1 , 3 , 1 , day , 100000
17.843748331069946 , 7.176784087762003  , q2 , 3 , 1 , day , 100000
16.667872667312622 , 6.545430875595199  , q3 , 3 , 1 , day , 100000
21.210542917251587 , 7.58196530808634  , q4 , 3 , 1 , day , 100000
117.18586921691895 , 10.77178997301774  , q5 , 3 , 1 , day , 100000
44.031808376312256 , 3.5444277743316634  , q6 , 3 , 1 , day , 100000
11.965198516845703 , 2.2012462348173587  , q7 , 3 , 1 , day , 100000
63.50518345832825 , 11.448537746132532  , q1 , 3 , 1 , day , 500000
26.786954402923584 , 5.9195678504366676  , q2 , 3 , 1 , day , 500000
26.29567265510559 , 6.586317436169809  , q3 , 3 , 1 , day , 500000
30.330703258514404 , 6.27996872585438  , q4 , 3 , 1 , day , 500000
139.1702926158905 , 17.18569242063463  , q5 , 3 , 1 , day , 500000
