172.47282028198242 , 50  , q1 , 3 , 1 , day , 10000
176.47282028198242 ,  10  , q1 , 3 , 1 , day , 20000
166.47282028198242 ,  10  , q1 , 3 , 1 , day , 200000
213.47282028198242 ,  10  , q1 , 3 , 1 , day , 500000
215.47282028198242 ,  10  , q1 , 3 , 1 , day , 1000000
220.75447416305542 , 40.07934054913402  , q1 , 3 , 1 , day , 100000
34.82044343442342 , 79.68203164776926  , q2 , 3 , 1 , day , 10000
31.82044343442342 , 79.68203164776926  , q2 , 3 , 1 , day , 20000
30.2349274020409 , 38.70632508721932  , q2 , 3 , 1 , day , 100000
33.1830348968506 , 38.70632508721932  , q2 , 3 , 1 , day , 5000000
35.45474910736084 , 38.70632508721932  , q2 , 3 , 1 , day ,10000000
38.8441390991211 , 14.163092554128726  , q3 , 3 , 1 , day , 10000
36.8441390991211 , 14.163092554128726  , q3 , 3 , 1 , day , 20000
35.4307770729065 , 19.640415745133186  , q3 , 3 , 1 , day , 100000
36.1830348968506 , 19.640415745133186  , q3 , 3 , 1 , day , 200000
34.82044343442342  , 19.640415745133186  , q3 , 3 , 1 , day , 500000
35.45474910736084 , 38.70632508721932  , q3 , 3 , 1 , day ,10000000
131.2312412261963 , 13.088126340673602  , q4 , 3 , 1 , day , 10000
146.7312502861023 , 17.9202760698803  , q4 , 3 , 1 , day , 100000
132.93501138687134 , 19.851941744334606  , q4 , 3 , 1 , day , 200000
144.1830348968506 , 21.19589060254895  , q4 , 3 , 1 , day , 500000
133.1958906434489 , 21.19589060254895  , q4 , 3 , 1 , day , 1000000
210.4664206504822 , 17.831877798931632  , q6 , 3 , 1 , day , 10000
210.92241048812866 , 18.925653709267298  , q6 , 3 , 1 , day , 20000
210.4664206504822 , 17  , q6 , 3 , 1 , day , 100000
220.92241048812866 , 18  , q6 , 3 , 1 , day , 200000
220.92241048812866 , 18  , q6 , 3 , 1 , day , 600000
220.92241048812866 , 18  , q6 , 3 , 1 , day , 1000000
202.83785820007324 , 7  , q7 , 3 , 1 , day , 10000
222.83785820007324 , 7  , q7 , 3 , 1 , day , 20000
206.45474910736084 , 10  , q7 , 3 , 1 , day , 100000
202.83785820007324 , 7  , q7 , 3 , 1 , day , 200000
206.45474910736084 , 10  , q7 , 3 , 1 , day , 500000
206.45474910736084 , 10  , q7 , 3 , 1 , day , 1000000
