865.6140565872192 , 458.2919943638642 , q1 , 1 , 1 , month
306946.2117552757 , 2573.6491311417944 , q1 , 1 , 400 , month
306430.7106733322 , 2425.5020223005486 , q1 , 1 , 800 , month
306984.2765927315 , 2845.4339058152473 , q1 , 1 , 1200 , month
306984.5126271248 , 2244.558553589639 , q1 , 1 , 1600 , month
307540.6883955002 , 2405.5328269970123 , q1 , 1 , 2000 , month
1891.9862747192383 , 619.023983424569 , q1 , 20 , 1 , month
304027.3522734642 , 1997.0772777762795 , q1 , 20 , 400 , month
305249.50379133224 , 451.78046868383575 , q1 , 20 , 800 , month
304864.8068904877 , 1150.2119723409894 , q1 , 20 , 1200 , month
305165.89814424515 , 2095.3333328779795 , q1 , 20 , 1600 , month
305632.3353648186 , 2060.0445213594307 , q1 , 20 , 2000 , month
7640.296149253845 , 1506.5586366656128 , q1 , 40 , 1 , month
304133.6450576782 , 1171.5475752674188 , q1 , 40 , 400 , month
304906.07023239136 , 1477.0843685801435 , q1 , 40 , 800 , month
305419.8319911957 , 1628.4656432515003 , q1 , 40 , 1200 , month
305642.8543329239 , 1682.6974058524465 , q1 , 40 , 1600 , month
305956.090092659 , 1957.8588139639876 , q1 , 40 , 2000 , month
7348.651099205017 , 206.7571331066 , q1 , 50 , 1 , month
305153.5893082619 , 1878.972972247727 , q1 , 50 , 400 , month
305098.52504730225 , 2153.690138261741 , q1 , 50 , 800 , month
305275.4245400429 , 1716.591057311629 , q1 , 50 , 1200 , month
305916.99838638306 , 1803.6730950512176 , q1 , 50 , 1600 , month
306866.472363472 , 1919.2473381306822 , q1 , 50 , 2000 , month
97.87240028381348 , 15.328325477092282 , q2 , 1 , 1 , month
17406.256437301636 , 155.53767840196906 , q2 , 1 , 400 , month
18646.886610984802 , 236.99991590620536 , q2 , 1 , 800 , month
20569.344544410706 , 219.26354313395086 , q2 , 1 , 1200 , month
24074.272394180298 , 318.9958490187178 , q2 , 1 , 1600 , month
75173.16702433994 , 738.3399032264609 , q2 , 1 , 2000 , month
209.03785228729248 , 5.764624148094287 , q2 , 20 , 1 , month
68547.98316955566 , 40202.75592255068 , q2 , 20 , 400 , month
37378.54516506195 , 2113.7803672571536 , q2 , 20 , 800 , month
112797.12147712708 , 4761.0665363580165 , q2 , 20 , 1200 , month
288688.79210948944 , 8684.272609293359 , q2 , 20 , 1600 , month
305491.40679836273 , 2366.689667709226 , q2 , 20 , 2000 , month
1178.1781673431396 , 1660.2374579665582 , q2 , 40 , 1 , month
33778.6740064621 , 24015.232071730334 , q2 , 40 , 400 , month
125329.99664545059 , 38961.654863657976 , q2 , 40 , 800 , month
35191.08200073242 , 561.5602795744445 , q2 , 40 , 1200 , month
29235.693049430847 , 283.16269605875885 , q2 , 40 , 1600 , month
241191.54065847397 , 2266.496960809758 , q2 , 40 , 2000 , month
771.3810682296753 , 348.6523646449968 , q2 , 50 , 1 , month
301657.2791337967 , 957.5214553895058 , q2 , 50 , 400 , month
135137.59845495224 , 40361.76170114831 , q2 , 50 , 800 , month
303209.44130420685 , 1818.5829969623635 , q2 , 50 , 1200 , month
305123.9877939224 , 2409.505461035611 , q2 , 50 , 1600 , month
305815.12343883514 , 2202.315557038779 , q2 , 50 , 2000 , month
115.77301025390625 , 235.1190472021971 , q3 , 1 , 1 , month
1702.0313024520874 , 4898.191816107177 , q3 , 1 , 400 , month
889.3532037734985 , 1806.002800559859 , q3 , 1 , 800 , month
755.630087852478 , 567.5943929371596 , q3 , 1 , 1200 , month
1180.411171913147 , 798.467476681312 , q3 , 1 , 1600 , month
2544.949698448181 , 3631.9607515609173 , q3 , 1 , 2000 , month
72.05333709716797 , 105.50664503132664 , q3 , 20 , 1 , month
18685.503315925598 , 58437.890043791034 , q3 , 20 , 400 , month
3313.0117893218994 , 9202.042361788624 , q3 , 20 , 800 , month
5584.897232055664 , 15459.341955561487 , q3 , 20 , 1200 , month
20899.95858669281 , 62597.28960041166 , q3 , 20 , 1600 , month
27991.967821121216 , 83410.35853402961 , q3 , 20 , 2000 , month
391.50445461273193 , 1104.5090300125953 , q3 , 40 , 1 , month
9932.777118682861 , 30610.91350403071 , q3 , 40 , 400 , month
15972.23026752472 , 48901.25626348998 , q3 , 40 , 800 , month
1770.4137086868286 , 2990.425120518735 , q3 , 40 , 1200 , month
2686.1032009124756 , 4544.912244874109 , q3 , 40 , 1600 , month
8871.575212478638 , 22221.213828559718 , q3 , 40 , 2000 , month
90.26496410369873 , 131.2387339935263 , q3 , 50 , 1 , month
