runtime, var  , query , n_s , n_st , timerange
4.076218605041504 , 9.104014195680307 , q1 , 1 , 1 , minute
7.821297645568848 , 13.742991796787798 , q1 , 1 , 10 , minute
32.13541507720947 , 55.59250110885254 , q1 , 1 , 50 , minute
50.177812576293945 , 68.58062948821842 , q1 , 1 , 100 , minute
190.8186674118042 , 266.145363508677 , q1 , 1 , 400 , minute
375.68976879119873 , 453.35884107442166 , q1 , 1 , 800 , minute
484.4538688659668 , 431.4435701244822 , q1 , 1 , 1200 , minute
618.9101219177246 , 515.403354510013 , q1 , 1 , 1600 , minute
768.6581611633301 , 676.455174818848 , q1 , 1 , 2000 , minute
3.3950328826904297 , 4.6753444317797666 , q1 , 1 , 1 , hour
11.705207824707031 , 4.934883651733697 , q1 , 1 , 10 , hour
68.5401201248169 , 18.0063503068404 , q1 , 1 , 50 , hour
127.51634120941162 , 31.526194916848574 , q1 , 1 , 100 , hour
352.10065841674805 , 5.907988710512496 , q1 , 1 , 400 , hour
717.179799079895 , 15.089035208914998 , q1 , 1 , 800 , hour
1068.2355880737305 , 59.265934983298656 , q1 , 1 , 1200 , hour
1474.5011806488037 , 25.42159819657385 , q1 , 1 , 1600 , hour
2331.5571546554565 , 561.5378529766323 , q1 , 1 , 2000 , hour
23.453617095947266 , 6.584995482882465 , q1 , 1 , 1 , day
174.23288822174072 , 24.124850224592464 , q1 , 1 , 10 , day
829.8649787902832 , 88.95384441650782 , q1 , 1 , 50 , day
1633.5618734359741 , 163.21694696546805 , q1 , 1 , 100 , day
6304.7502517700195 , 753.0283806823068 , q1 , 1 , 400 , day
13786.752313375473 , 1652.598579940219 , q1 , 1 , 800 , day
20304.91808482579 , 2037.344319361679 , q1 , 1 , 1200 , day
27191.733155931746 , 2369.564561533083 , q1 , 1 , 1600 , day
34726.9344329834 , 3588.207890785688 , q1 , 1 , 2000 , day
29.676365852355957 , 23.053878389580245 , q1 , 1 , 1 , week
166.74673557281494 , 4.1521753967866095 , q1 , 1 , 10 , week
802.5407552719116 , 22.91143002445109 , q1 , 1 , 50 , week
1616.567850112915 , 51.362061056232605 , q1 , 1 , 100 , week
6497.871732711792 , 290.3467278108545 , q1 , 1 , 400 , week
12968.170672655106 , 363.23957456874297 , q1 , 1 , 800 , week
19366.96641785758 , 603.6883123573505 , q1 , 1 , 1200 , week
25859.228917530603 , 574.1648359415113 , q1 , 1 , 1600 , week
32837.095294679915 , 939.0884396542111 , q1 , 1 , 2000 , week
4.222774505615234 , 7.019396005093365 , q1 , 20 , 1 , minute
17.98710823059082 , 22.804400567951024 , q1 , 20 , 10 , minute
80.30722141265869 , 95.97058969282428 , q1 , 20 , 50 , minute
155.07948398590088 , 173.2047863767546 , q1 , 20 , 100 , minute
627.6161909103394 , 711.4197457503094 , q1 , 20 , 400 , minute
1238.2397651672363 , 1384.249341779888 , q1 , 20 , 800 , minute
1860.0295066833496 , 2083.626627926704 , q1 , 20 , 1200 , minute
2302.4773597717285 , 2382.183216726944 , q1 , 20 , 1600 , minute
2880.6973457336426 , 3051.376594710037 , q1 , 20 , 2000 , minute
8.681917190551758 , 6.247810784275233 , q1 , 20 , 1 , hour
47.68049716949463 , 4.622160044112751 , q1 , 20 , 10 , hour
206.1192274093628 , 3.7324813061006217 , q1 , 20 , 50 , hour
412.3230457305908 , 14.085226044165708 , q1 , 20 , 100 , hour
1633.807897567749 , 32.502901056327886 , q1 , 20 , 400 , hour
3318.9194679260254 , 79.09125357789044 , q1 , 20 , 800 , hour
6573.523473739624 , 2000.4677708779022 , q1 , 20 , 1200 , hour
6191.96503162384 , 144.86126291100814 , q1 , 20 , 1600 , hour
10334.47048664093 , 1803.0534323000586 , q1 , 20 , 2000 , hour
93.96882057189941 , 13.62832878388367 , q1 , 20 , 1 , day
329.01856899261475 , 50.05406720689147 , q1 , 20 , 10 , day
4139.139723777771 , 586.893149412286 , q1 , 20 , 50 , day
8421.241474151611 , 1335.151493468518 , q1 , 20 , 100 , day
34861.2106187003 , 6410.360583524068 , q1 , 20 , 400 , day
68450.19517626081 , 11240.842119974976 , q1 , 20 , 800 , day
101065.80618449619 , 14649.240647090704 , q1 , 20 , 1200 , day
140579.37465395246 , 24640.67663972816 , q1 , 20 , 1600 , day
167953.48794119697 , 11915.503234164064 , q1 , 20 , 2000 , day
89.19124603271484 , 3.0763620015846835 , q1 , 20 , 1 , week
324.69685077667236 , 3.9811913401641896 , q1 , 20 , 10 , week
3992.539358139038 , 45.29714489616739 , q1 , 20 , 50 , week
8058.796262741089 , 101.3536264514995 , q1 , 20 , 100 , week
32532.310792378015 , 471.8029760588809 , q1 , 20 , 400 , week
61595.801285334994 , 970.5097759941596 , q1 , 20 , 800 , week
99493.05013247898 , 2312.680393698821 , q1 , 20 , 1200 , week
127560.03175462995 , 943.2484203243708 , q1 , 20 , 1600 , week
164844.1869871957 , 3044.617482026463 , q1 , 20 , 2000 , week
5.11171817779541 , 6.340647632527077 , q1 , 40 , 1 , minute
29.51645851135254 , 28.32617576180607 , q1 , 40 , 10 , minute
116.5691614151001 , 59.01290778108173 , q1 , 40 , 50 , minute
213.71641159057617 , 53.1240470750113 , q1 , 40 , 100 , minute
903.9109230041504 , 433.883790089506 , q1 , 40 , 400 , minute
1794.8496103286743 , 873.3486853739719 , q1 , 40 , 800 , minute
3120.7995653152466 , 2936.698147545342 , q1 , 40 , 1200 , minute
4184.267020225525 , 3867.816124791169 , q1 , 40 , 1600 , minute
5146.111559867859 , 4634.827544997337 , q1 , 40 , 2000 , minute
10.93297004699707 , 5.032114834126403 , q1 , 40 , 1 , hour
87.36715316772461 , 3.3138246125200896 , q1 , 40 , 10 , hour
388.17474842071533 , 6.923283529643541 , q1 , 40 , 50 , hour
761.917781829834 , 8.67164549674386 , q1 , 40 , 100 , hour
3855.9502124786377 , 366.8664928336681 , q1 , 40 , 400 , hour
7721.095776557922 , 710.2665952527187 , q1 , 40 , 800 , hour
8876.731491088867 , 52.36296347922338 , q1 , 40 , 1200 , hour
11965.492169062296 , 119.81854273338432 , q1 , 40 , 1600 , hour
20210.4458127703 , 5005.090483380811 , q1 , 40 , 2000 , hour
164.0270233154297 , 9.619284838851927 , q1 , 40 , 1 , day
1517.535662651062 , 80.3122769645478 , q1 , 40 , 10 , day
7616.995596885681 , 449.4891985425726 , q1 , 40 , 50 , day
15162.222385406494 , 839.195205183401 , q1 , 40 , 100 , day
61226.63048335484 , 4385.002854084991 , q1 , 40 , 400 , day
124117.47782570975 , 11640.171523668485 , q1 , 40 , 800 , day
125785.59415681021 , 9018.763000493584 , q1 , 40 , 1200 , day
98484.45194108145 , 2510.335865902533 , q1 , 40 , 1600 , day
342829.8131397792 , 55071.43784239702 , q1 , 40 , 2000 , day
171.0012435913086 , 25.661173938955418 , q1 , 40 , 1 , week
1516.3378238677979 , 10.323946716228015 , q1 , 40 , 10 , week
7545.64950466156 , 97.0768404023114 , q1 , 40 , 50 , week
15224.68079839434 , 257.4198531566418 , q1 , 40 , 100 , week
62348.956074033464 , 1184.125987530479 , q1 , 40 , 400 , week
120456.90522875104 , 1133.5292891836955 , q1 , 40 , 800 , week
118960.95698220389 , 1871.8257708601527 , q1 , 40 , 1200 , week
98238.1636415209 , 631.8694270344882 , q1 , 40 , 1600 , week
312323.2817309243 , 10091.697024496663 , q1 , 40 , 2000 , week
6.419992446899414 , 7.001336780311426 , q1 , 60 , 1 , minute
35.21897792816162 , 19.948980134553466 , q1 , 60 , 10 , minute
202.2552728652954 , 163.235444934498 , q1 , 60 , 50 , minute
347.2259044647217 , 111.92348505128412 , q1 , 60 , 100 , minute
1259.302043914795 , 269.8787229811918 , q1 , 60 , 400 , minute
2990.250539779663 , 2479.4834080164496 , q1 , 60 , 800 , minute
3401.103973388672 , 190.75811046513664 , q1 , 60 , 1200 , minute
5883.745121955872 , 4589.8508408789085 , q1 , 60 , 1600 , minute
7391.665363311768 , 6012.80474427504 , q1 , 60 , 2000 , minute
18.740391731262207 , 7.064595798399457 , q1 , 60 , 1 , hour
119.24524307250977 , 3.8066079409201263 , q1 , 60 , 10 , hour
567.2919750213623 , 8.621362269497698 , q1 , 60 , 50 , hour
1441.2214756011963 , 102.2940505553642 , q1 , 60 , 100 , hour
4439.230513572693 , 65.3636999002948 , q1 , 60 , 400 , hour
8725.802779197693 , 85.41110393956521 , q1 , 60 , 800 , hour
13100.488513708115 , 143.09235744166443 , q1 , 60 , 1200 , hour
23658.987181527275 , 4273.992559535285 , q1 , 60 , 1600 , hour
29580.45230593 , 5396.82001378834 , q1 , 60 , 2000 , hour
238.2171869277954 , 13.216008037767452 , q1 , 60 , 1 , day
2263.836908340454 , 110.86795211350919 , q1 , 60 , 10 , day
11381.111171510485 , 688.7104048287805 , q1 , 60 , 50 , day
22859.732491629464 , 400.8664146072552 , q1 , 60 , 100 , day
90952.30947222028 , 1162.7182229739199 , q1 , 60 , 400 , day
187865.0246007102 , 14403.608084983834 , q1 , 60 , 800 , day
45090.163707733154 , 799.8926008665044 , q1 , 60 , 1200 , day
454715.8762727465 , 155784.29281634488 , q1 , 60 , 1600 , day
246.19927406311035 , 34.05920303199103 , q1 , 60 , 1 , week
2198.0847120285034 , 225.0002494876125 , q1 , 60 , 10 , week
10728.905177116394 , 1204.1066433514593 , q1 , 60 , 50 , week
22714.821338653564 , 2553.4250131006843 , q1 , 60 , 100 , week
92217.88733346121 , 8141.894146765006 , q1 , 60 , 400 , week
7.710886001586914 , 7.381667573383826 , q1 , 80 , 1 , minute
49.42522048950195 , 33.320514383202244 , q1 , 80 , 10 , minute
204.92260456085205 , 8.25069349281891 , q1 , 80 , 50 , minute
500.143027305603 , 276.7570696302946 , q1 , 80 , 100 , minute
1915.937852859497 , 1105.758556070276 , q1 , 80 , 400 , minute
20.586633682250977 , 5.505750637316134 , q1 , 80 , 1 , hour
155.5225372314453 , 3.090355715353419 , q1 , 80 , 10 , hour
741.7547702789307 , 5.787415500062121 , q1 , 80 , 50 , hour
1458.6554050445557 , 53.783877953724904 , q1 , 80 , 100 , hour
5934.164786338806 , 92.36185237284755 , q1 , 80 , 400 , hour
296.90001010894775 , 6.962908519168686 , q1 , 80 , 1 , day
2977.541732788086 , 147.11188653760277 , q1 , 80 , 10 , day
14413.505928856986 , 181.7106057629515 , q1 , 80 , 50 , day
29183.871609824044 , 983.468238202311 , q1 , 80 , 100 , day
115208.93996102469 , 4615.437512403228 , q1 , 80 , 400 , day
296.84340953826904 , 4.118877054055451 , q1 , 80 , 1 , week
2906.2185049057007 , 42.37683763620857 , q1 , 80 , 10 , week
13815.896451473236 , 162.111823222969 , q1 , 80 , 50 , week
27616.293362208777 , 283.9077385682147 , q1 , 80 , 100 , week
117580.59273447309 , 2857.9683799314607 , q1 , 80 , 400 , week
8.080410957336426 , 5.215023990173424 , q1 , 100 , 1 , minute
49.62491989135742 , 7.544718414189632 , q1 , 100 , 10 , minute
195.79391479492188 , 80.99717685331598 , q1 , 100 , 50 , minute
500.7145404815674 , 20.460493058708998 , q1 , 100 , 100 , minute
2249.7713327407837 , 1099.3989181034308 , q1 , 100 , 400 , minute
25.366735458374023 , 5.682124857137756 , q1 , 100 , 1 , hour
242.98675060272217 , 2.127637894871284 , q1 , 100 , 10 , hour
842.8092956542969 , 28.06504234827699 , q1 , 100 , 50 , hour
1774.522352218628 , 14.643963000284016 , q1 , 100 , 100 , hour
9097.728323936462 , 699.8926749112361 , q1 , 100 , 400 , hour
370.79946994781494 , 2.4599405171649535 , q1 , 100 , 1 , day
3603.0293703079224 , 49.87490809434703 , q1 , 100 , 10 , day
18013.508626392908 , 386.46047965154156 , q1 , 100 , 50 , day
7150.213193893433 , 173.0479167617714 , q1 , 100 , 100 , day
149592.18651907783 , 3130.252636123134 , q1 , 100 , 400 , day
387.4756336212158 , 42.46263304607072 , q1 , 100 , 1 , week
3604.220676422119 , 55.582941287462354 , q1 , 100 , 10 , week
17826.77153178624 , 294.6833397631385 , q1 , 100 , 50 , week
7489.775061607361 , 147.31653846711072 , q1 , 100 , 100 , week
147094.72271374293 , 3303.6343494412913 , q1 , 100 , 400 , week
2.5156021118164062 , 4.664914655657025 , q2 , 1 , 1 , minute
5.303430557250977 , 6.769294915413205 , q2 , 1 , 10 , minute
15.297579765319824 , 5.432867849465492 , q2 , 1 , 50 , minute
34.195685386657715 , 23.076615949514043 , q2 , 1 , 100 , minute
139.29624557495117 , 123.43053788838611 , q2 , 1 , 400 , minute
2.6288509368896484 , 4.520680015617964 , q2 , 1 , 1 , hour
5.198979377746582 , 4.469758788119946 , q2 , 1 , 10 , hour
25.74179172515869 , 5.653431258673136 , q2 , 1 , 50 , hour
55.168962478637695 , 21.08033625679357 , q2 , 1 , 100 , hour
